processo_numero;processo_ocorrencia
8102498618;Não há Ocorrência para essa Solicitação
8102478717;Não há Ocorrência para essa Solicitação
8102452817;Imoveis com Danos/Risco
8102431017;Imoveis com Danos/Risco
8102423817;Não há Ocorrência para essa Solicitação
8102414718;Não há Ocorrência para essa Solicitação
8102398317;Deslizamentos de Barreiras
8102329117;Não há Ocorrência para essa Solicitação
8102309918;Não há Ocorrência para essa Solicitação
8102240918;Não há Ocorrência para essa Solicitação
8102221418;Não há Ocorrência para essa Solicitação
8102196117;Não há Ocorrência para essa Solicitação
8102126118;Não há Ocorrência para essa Solicitação
8101985018;Imoveis com Danos/Risco
8101879618;Imoveis com Danos/Risco
8101872317;Muro com Danos
8101828218;Deslizamentos de Barreiras
8101813518;Muro com Danos
8101809818;Elevacao do Nivel do Rio
8101809818;Desabamento Total Imoveis
8101759018;Não há Ocorrência para essa Solicitação
8101731017;Imoveis com Danos/Risco
8101710317;Muro com Danos
8101710317;Imoveis com Danos/Risco
8101705017;Não há Ocorrência para essa Solicitação
8101692318;Desabamento Parcial Imoveis
8101664018;Não há Ocorrência para essa Solicitação
8101455118;Não há Ocorrência para essa Solicitação
8101305018;Não há Ocorrência para essa Solicitação
8101234518;Imoveis com Danos/Risco
8101189117;Não há Ocorrência para essa Solicitação
8101182518;Não há Ocorrência para essa Solicitação
8101156418;Não há Ocorrência para essa Solicitação
8101112917;Incendios
8101102317;Não há Ocorrência para essa Solicitação
8101095717;Não há Ocorrência para essa Solicitação
8101093417;Não há Ocorrência para essa Solicitação
8101081617;Não há Ocorrência para essa Solicitação
8101071017;Não há Ocorrência para essa Solicitação
8101066717;Desabamento Total de Obras de Contencao/Drenagem
8101042017;Não há Ocorrência para essa Solicitação
8101040817;Imoveis com Danos/Risco
8100991718;Incendios
8100991718;Imoveis com Danos/Risco
8100906018;Não há Ocorrência para essa Solicitação
8100880217;Imoveis com Danos/Risco
8100878817;Imoveis com Danos/Risco
8100878817;Não há Ocorrência para essa Solicitação
8100870717;Não há Ocorrência para essa Solicitação
8100734418;Não há Ocorrência para essa Solicitação
8100681818;Imoveis com Danos/Risco
8100679517;Imoveis com Danos/Risco
8100628117;Não há Ocorrência para essa Solicitação
8100606817;Imoveis com Danos/Risco
8100598517;Imoveis com Danos/Risco
8100591918;Arvores em Risco
8100588818;Imoveis com Danos/Risco
8100576018;Não há Ocorrência para essa Solicitação
8100400918;Não há Ocorrência para essa Solicitação
8100381617;Imoveis com Danos/Risco
8100379018;Não há Ocorrência para essa Solicitação
8100374818;Não há Ocorrência para essa Solicitação
8100113117;Imoveis com Danos/Risco
8100081018;Não há Ocorrência para essa Solicitação
8100059717;Não há Ocorrência para essa Solicitação
8100056817;Não há Ocorrência para essa Solicitação
8100047917;Muro com Danos
8100045418;Imoveis com Danos/Risco
8099964717;Imoveis com Danos/Risco
8099955817;Imoveis com Danos/Risco
8099945217;Imoveis com Danos/Risco
8099890317;Imoveis com Danos/Risco
8099875417;Imoveis com Danos/Risco
8099855317;Deslizamentos de Barreiras
8099853017;Deslizamentos de Barreiras
8099732917;Imoveis com Danos/Risco
8099732917;Muro com Danos
8099717017;Não há Ocorrência para essa Solicitação
8099714918;Não há Ocorrência para essa Solicitação
8099677618;Não há Ocorrência para essa Solicitação
8099660618;Não há Ocorrência para essa Solicitação
8099590017;Muro com Danos
8099580218;Não há Ocorrência para essa Solicitação
8099551417;Não há Ocorrência para essa Solicitação
8099543018;Não há Ocorrência para essa Solicitação
8099486618;Imoveis com Danos/Risco
8099471918;Imoveis com Danos/Risco
8099469418;Não há Ocorrência para essa Solicitação
8099438118;Muro com Danos
8099422017;Não há Ocorrência para essa Solicitação
8099419917;Imoveis com Danos/Risco
8099417617;Deslizamentos de Barreiras
8099413017;Muro com Danos
8099410117;Imoveis com Danos/Risco
8099360417;Arvores em Risco
8099351517;Não há Ocorrência para essa Solicitação
8099328118;Não há Ocorrência para essa Solicitação
8099244417;Imoveis com Danos/Risco
8099146018;Não há Ocorrência para essa Solicitação
8099092017;Imoveis Alagados
8099092017;Imoveis com Danos/Risco
8099092017;Muro com Danos
8099085317;Imoveis com Danos/Risco
8099083017;Imoveis com Danos/Risco
8099081817;Deslizamentos de Barreiras
8099061717;Não há Ocorrência para essa Solicitação
8098977817;Imoveis com Danos/Risco
8098954817;Imoveis com Danos/Risco
8098935118;Imoveis com Danos/Risco
8098925817;Não há Ocorrência para essa Solicitação
8098739818;Não há Ocorrência para essa Solicitação
8098722017;Não há Ocorrência para essa Solicitação
8098713017;Imoveis com Danos/Risco
8098705618;Imoveis com Danos/Risco
8098705618;Incendios
8098697517;Muro com Danos
8098609917;Muro com Danos
8098553118;Não há Ocorrência para essa Solicitação
8098439617;Não há Ocorrência para essa Solicitação
8098408317;Imoveis com Danos/Risco
8098408317;Imoveis Alagados
8098356317;Não há Ocorrência para essa Solicitação
8098289218;Não há Ocorrência para essa Solicitação
8098224818;Invasao de Terreno de Auxilio Moradia
8098207618;Imoveis com Danos/Risco
8098199318;Imoveis com Danos/Risco
8098144418;Invasao de Terreno de Auxilio Moradia
8098095517;Não há Ocorrência para essa Solicitação
8098089517;Imoveis com Danos/Risco
8098062017;Imoveis com Danos/Risco
8098055317;Não há Ocorrência para essa Solicitação
8097974517;Não há Ocorrência para essa Solicitação
8097957317;Deslizamentos de Barreiras
8097954417;Imoveis com Danos/Risco
8097927717;Invasao de Terreno de Auxilio Moradia
8097895817;Invasao de Terreno de Auxilio Moradia
8097885018;Não há Ocorrência para essa Solicitação
8097885018;Desabamento Parcial de Obras de Contencao/Drenagem
8097862217;Não há Ocorrência para essa Solicitação
8097829517;Muro com Danos
8097828718;Deslizamentos de Barreiras
8097823717;Não há Ocorrência para essa Solicitação
8097817717;Muro com Danos
8097736518;Invasao de Terreno de Auxilio Moradia
8097735017;Não há Ocorrência para essa Solicitação
8097721017;Muro com Danos
8097693617;Não há Ocorrência para essa Solicitação
8097691317;Não há Ocorrência para essa Solicitação
8097678717;Não há Ocorrência para essa Solicitação
8097673517;Imoveis com Danos/Risco
8097671217;Não há Ocorrência para essa Solicitação
8097660017;Produtos Quimicos Perigosos
8097647417;Não há Ocorrência para essa Solicitação
8097635418;Imoveis com Danos/Risco
8097629418;Imoveis com Danos/Risco
8097588817;Arvores em Risco
8097580717;Não há Ocorrência para essa Solicitação
8097580518;Imoveis com Danos/Risco
8097566417;Arvores em Risco
8097528517;Não há Ocorrência para essa Solicitação
